Term_Translated,Campus,Subject,Subject_Name,Course_Title,Description,Units,Units_Min,Units_Max,Prerequisites,Cross_Listing,Course Name
Winter Quarter 2226,UCSC,COWL,Cowell College,Leading and Empowering Others,"The second in a three-part sequence that builds the foundation for aspiring leaders, although anyone can join the sequence at any time. This part sets the foundation to learn how to lead teams, groups, and committees. Students gain experience and confidence working with others in an effective way, and using their leadership mindset to grow so they can serve others and be a change agent and catalyst in our community. (Formerly ELP Core Course: Leadership From the Inside Out, Networking and Professionalism.)",2 units,2,2,,,11B
Winter Quarter 2226,UCSC,COWL,Cowell College,Public Speaking,"This introductory level seminar is designed to reduce anxiety and increase competence and confidence in a variety of public speaking situations. While providing some theory, this seminar emphasizes the practice of composing and delivering speeches, including formal, informal, and extemporaneous occasions.",5 units,5,5,,,12
Winter Quarter 2226,UCSC,COWL,Cowell College,Introduction to Systems Theory,"Multidisciplinary overview of the problem-solving methodology known as Systems Theory. The word “system” is used every day, but few people understand what a system really is. What do different systems—from a digestive system to a legal system to a solar system—have in common? What are the laws that govern how systems operate, and how do problems arise? Our goal is to appreciate the fundamental roles that systems play in making daily life functional, in order to diagnose problems better and to generate novel and functional solutions.",5 units,5,5,,,66
Winter Quarter 2226,UCSC,COWL,Cowell College,Intermediate Book Arts,"Learn fundamental skills in fine letterpress printing, including hand typesetting and instruction in the operation of printing presses. Basic typography explored as students design and print a small edition of a selected text.",5 units,5,5,Prerequisite(s): COWL 70A or by permission of instructor.,,70B
Winter Quarter 2226,UCSC,COWL,Cowell College,Dungeons & Dragons &...Yokai!? Global Transformations of Japanese Fantasy,"Explores adaptations of Japanese fantasy across media forms and national boundaries. Argues that the genre of Japanese fantasy emerged through a network of trans-cultural and trans-media adaptations which inform each other to shape understandings of the genre today. Exploration of the fantasy genre includes the transnational circulation of folklore, historical romance, high fantasy, dark fantasy, sword and sorcery, cosmic horror, and secondary world fantasy. The learning objectives of this course are obtained through group projects, theorizing collaboration, and tabletop role-playing games, including Dungeons & Dragons and The Call of Cthulhu.",5 units,5,5,,,80
Winter Quarter 2226,UCSC,COWL,Cowell College,Living Harmoniously: Philosophy for Healing,"Many religious, philosophical, and cultural traditions emphasize diverse paths and understandings to the strikingly similar goal for humans to live harmoniously amongst each other in society and in the natural world. This seminar focuses on exploring and examining such ideas across history from around the world with a particular focus on ideas that offer paths to healing for readers and practitioners. The course doesn’t presume to heal students, but rather to point out the tools provided by the philosophical process toward this individual end, as well as equipping students for interpersonal and community efforts at collective, cooperative healing.",5 units,5,5,,,130
Winter Quarter 2226,UCSC,COWL,Cowell College,Designing Your Life,"Do you ever think, ''I want to make a difference!'' but don't know where to start? In this class, students learn design thinking theory and methods and apply them to their lives, specifically to the question of what to do after college. Students build deeper awareness of their values and goals, define areas of life and work they want to grow in, ideate multiple life paths, prototype elements of careers of interest, and take small steps to try these out. This is an experiential class that asks students to try new ways of thinking and step outside comfort zones as they learn a creative problem-solving approach applicable in many contexts. (Formerly offered as CLNI 140.)",5 units,5,5,Enrollment is restricted to juniors and seniors.,,140
Winter Quarter 2226,UCSC,COWL,Cowell College,Special Topics: Oral History,"Introduction to the theory, practice, technology, and ethics of conducting oral history. Readings and expert guest speakers offer both theoretical and practical insights. Students plan and implement oral history projects in accordance with professional standards.",5 units,5,5,"Enrollment restricted to sophomores, juniors, and seniors.",,158A
Winter Quarter 2226,UCSC,COWL,Cowell College,Delicious: The Cookbook as Literature,"Proposes an aesthetic approach to the cookbook. Students read from a series of cookbooks, and prepare a series of meals described in or inspired by the cookbooks read. Our interdisciplinary approach to food will allow us to interpret and analyze food as cultural storytelling, while also cultivating the spirit of hospitality through shared meals.",5 units,5,5,,,161G
Winter Quarter 2226,UCSC,COWL,Cowell College,Social Change,"How do you change the world, working alone and in concert with others? To find out students spend the quarter learning about how one non-profit organization of their choosing creates change in their community. Students research an agency, focusing on who is served, how funding works and how real change is created. May be repeated for credit.",2 units,2,2,,,168
Winter Quarter 2226,UCSC,COWL,Cowell College,Social Change,"How do you change the world, working alone and in concert with others? To find out students spend the quarter learning about how one non-profit organization of their choosing creates change in their community. Students research an agency, focusing on who is served, how funding works and how real change is created. May be repeated for credit.",2 units,2,2,,,168
Winter Quarter 2226,UCSC,COWL,Cowell College,Leadership and Institution Building,"Through lectures by senior administrators and student consensus-and-recommendation teams, students learn how leaders work with constituent groups, build cooperation, and develop implementation plans in an institution such as the University of California, specifically, UC Santa Cruz. Enrollment is restricted to undergraduates accepted in the Chancellor's Undergraduate Internship Program. Students submit applications winter quarter for the following academic year.",2 units,2,2,,,184B
Winter Quarter 2226,UCSC,CRES,Critical Race and Ethnic Studies,California Indian History,"California encompasses the nation's largest Native population and the state's policies create a complex political and legal structure. This course provides a history of early California in the 18th and 19th centuries and a review of the urban Indian experience in the 20th century. The first part sets the historical foundation and traces early California Indian history. The second part shifts to 20th-century urban Indian issues and the contemporary moment for California Indian peoples. Covers topics such as Indian labor exploitation, genocide, termination, relocation, and federal recognition. (Formerly FMST 13.)",5 units,5,5,,,13
Winter Quarter 2226,UCSC,CRES,Critical Race and Ethnic Studies,Pilipinx Historical Dialogue,"Examines the history, politics, and cultural expressions of the Pilipinx community, in the Philippines and the diaspora, with an emphasis on Pilipinx and Pilipinx-American activism.",5 units,5,5,,,45
Winter Quarter 2226,UCSC,CRES,Critical Race and Ethnic Studies,Black Radical University?,"Course emerges from a collaboration with the Black Student Union around Black student organizing and Black liberationist pedagogies. Students explore and archive histories of Black student organizing on the UC Santa Cruz campus and beyond (locally, nationally, and globally), as well as Black liberationist pedagogy (e.g., decolonial thought in the Third World, freedom schools in the U.S. South, Black Panther Party liberation schools, Black feminist pedagogies). Course is offered for pass/no pass grading only.",5 units,5,5,,,70B
Winter Quarter 2226,UCSC,CRES,Critical Race and Ethnic Studies,Introduction to the Sikhs,"Introduces the Sikh community, including its origins, history, belief system and contemporary challenges. Other topics include Sikh music, art, literature, and aspects of Sikh society. Specific attention is paid to the Sikh diaspora community in the United States, and in California in particular, including comparative perspectives with respect to other minority communities.",2 units,2,2,,,70S
Winter Quarter 2226,UCSC,CRES,Critical Race and Ethnic Studies,(Un)docu Studies,"Deconstructs the common perception of immigration as strictly a Latinx issue in order to develop solidarity among different groups of students and to explore a range of narratives surrounding undocumented status and migration with the aim of empowering us as agents of transformative social change. Legal papers, as a violent affirmation of settler sovereignty, do not capture the complexities of who we are, much less all our relations—to each other, to place, to life worlds. By exploring those complexities, we strive to create a communal space where we courageously articulate self, community, and relationality in ways that state documents must disavow. Course is offered for Pass/No Pass grading only.",5 units,5,5,,,70U
Winter Quarter 2226,UCSC,CRES,Critical Race and Ethnic Studies,Comparative Theories of Race and Ethnicity,"Examines race and ethnicity as categories of lived identity intersecting with gender, sexuality, class, and culture; historical discourses of difference underwriting social inequalities and movements to redress those inequalities; and concepts critical to the understanding and reshaping of power and privilege.",5 units,5,5,Prerequisite(s): CRES 10 and satisfaction of the Entry Level and Composition requirements.,,100
Winter Quarter 2226,UCSC,CRES,Critical Race and Ethnic Studies,Music and Performance,"Considers issues of race, place, gender, power, and identities through the converging fields of Black studies and performance studies. Emphasizes global diasporic histories of broad music production and performance from the 14th century onward with an emphasis on the making and performance of global Black social life. Primarily creative in nature, the course allows students to practice creative processes and allows opportunities to produce music and generate performance art. May be repeated for credit.",5 units,5,5,,,113
Winter Quarter 2226,UCSC,CRES,Critical Race and Ethnic Studies,The Struggle for K-12 Ethnic Studies,"Critical analysis of the movement for K-12 ethnic studies in historical and contemporary time periods with a particular focus on the Liberated Ethnic Studies Model Curriculum. Students read, discuss, and analyze past and present K-12 ethnic studies research, policy, and practice to deepen their knowledge and strengthen their ability to critique issues in K-12 ethnic studies education while reflecting on how the concepts and questions that arise relate to their own educational experiences and lives.",5 units,5,5,,,121
Winter Quarter 2226,UCSC,CRES,Critical Race and Ethnic Studies,Introduction to Native American & Indigenous Studies,"Explores the emergence of Native American and Indigenous Studies as well as the theories, methods, and contemporary issues that inform the field. Centers key concepts and central themes from over the last half century of academic scholarship, and activist organizing, for Indigenous peoples and the decolonization of settler occupied lands.",5 units,5,5,,,123
Winter Quarter 2226,UCSC,CRES,Critical Race and Ethnic Studies,Learning with the Land,"A sustained inquiry into the place of land in the process of learning. Drawing from Indigenous and diasporic ways of knowing, this course invites students to shift normative paradigms of study--so as to learn with the land and not only about it. With some instruction conducted outdoors, students deepen their relation to their local surroundings--and think critically about how they have been formed by colonial histories. The course examines the role of land in various visions of decolonization. Students build sociohistorical literacy in land struggles of the past and present.",5 units,5,5,,,141
Winter Quarter 2226,UCSC,CRES,Critical Race and Ethnic Studies,A Radical History of the Korean War,"Against dominant framings of the Korean War, which left 4 million Koreans dead, as the freeing of the Korean people by the United States from the forces of global communism, this course reconsiders the war, which has never formally ended, from below and to the left, namely, through the lenses of multigenerational people's struggles against fascism and imperialism. Through collaborative, participatory research, students materialize from the ashbin of history what might be called a people's archive of the Korean War.",5 units,5,5,,,153
Winter Quarter 2226,UCSC,CRES,Critical Race and Ethnic Studies,Palestine: A History from Below,Offers a chronological trajectory of more than 100 years of Palestinian history from the diverse perspectives of Palestinians as knowledge producers in transnational community.,5 units,5,5,,,173
Winter Quarter 2226,UCSC,CRES,Critical Race and Ethnic Studies,"Talanoa—Talkin Story: Indigenous, Decolonial Research and Methodologies","Senior seminar focusing on to the epistemological and historical frameworks of Indigenous and decolonial research and methodologies, emphasizing settler colonialisms, self-determination, and decolonization here in Turtle Island and transnationally with a focus on Native California.",5 units,5,5,"Prerequisite(s): CRES 10, CRES 100, and CRES 101; and satisfaction of the Entry Level Writing and Composition requirements. Enrollment is restricted to senior critical race and ethnic studies majors.",,190I
Winter Quarter 2226,UCSC,CRES,Critical Race and Ethnic Studies,Queer & Anti-Colonial Gardening,"A collective study of dispersed forms of resistance to colonial models of agriculture, including the logics of the plantation economy. Students engage disparate traditions of gardening—from the imperially ambitious collections of Kew to the creole gardens of enslaved people in the Caribbean. Course investigates how non-normative practices of gardening challenge the classificatory order of sexual, racial, and species difference that colonial horticulture maintains as a hard norm. Also considers how gardens have acted as both an expression and site of queer and trans desire.",5 units,5,5,"Prerequisite(s): CRES 10, CRES 100 and CRES 101; satisfaction of the Entry Level Writing and Composition requirements. Enrollment is restricted to senior CRES majors.",,190W
Winter Quarter 2226,UCSC,CRES,Critical Race and Ethnic Studies,Ethnographies of Empire,"Studies ethnography in contexts of war, empire, and militarism. Includes readings of ethnographies that chronicle the contours of colonial violence and asks: What work does ethnography do? What work must it do? In our timeline of genocide and endless militarism, does ethnography matter and why? Course studies not only the work of those subject to the colonial state violence, but also the work of the interview itself and the ethics of research methods.",5 units,5,5,Enrollment is restricted to graduate students.,,209
Winter Quarter 2226,UCSC,CRSN,Carson College,Peregrine Falcons Return,"A case study of the 1970s-1990s UC Santa Cruz effort to restore a nearly extinct peregrine falcon population including reviews of the Endangered Species Act, falcon physiology, and the innovative conservation biology techniques that led to success.",2 units,2,2,,,20G
Winter Quarter 2226,UCSC,CRSN,Carson College,Sustainability Praxis in the Natural and Built Environment,"Introduces the concepts, methods, practices, and tools of the trade for conceptualizing and conducting research in sustainability praxis in the built and natural environment, and the quantitative and analytical tools required to conduct such analysis and research.",5 units,5,5,,,151A
Winter Quarter 2226,UCSC,CRSN,Carson College,"Sustainability Laboratory Tools, Techniques, and Applications","Introduces the concepts, skills, and strategies fundamental to the successful development of sustainability-related projects appropriate to the Sustainability Lab. Provides access to functional and living laboratory space, equipment, professional development, and technical training. May be repeated for credit.",3 units,3,3,,,151C
Winter Quarter 2226,UCSC,CRSN,Carson College,IDEASS Laboratory Practicum,Laboratory designed to advance sustainability education with real-world impact. Enables students to develop as change agents and to make valued contributions to sustainable-design projects that advance new technologies or strategies and bring about societal and environmental change. May be repeated for credit.,3 units,3,3,"Enrollment is restricted to sophomores, juniors, seniors and graduate students.",,152
Winter Quarter 2226,UCSC,CRSN,Carson College,IDEASS Laboratory Practicum,Laboratory designed to advance sustainability education with real-world impact. Enables students to develop as change agents and to make valued contributions to sustainable-design projects that advance new technologies or strategies and bring about societal and environmental change. May be repeated for credit.,3 units,3,3,"Enrollment is restricted to sophomores, juniors, seniors and graduate students.",,152
Winter Quarter 2226,UCSC,CRSN,Carson College,IDEASS Laboratory Practicum,Laboratory designed to advance sustainability education with real-world impact. Enables students to develop as change agents and to make valued contributions to sustainable-design projects that advance new technologies or strategies and bring about societal and environmental change. May be repeated for credit.,3 units,3,3,"Enrollment is restricted to sophomores, juniors, seniors and graduate students.",,152
Winter Quarter 2226,UCSC,CRWN,Crown College,Academic Literacy and Ethos: Ethical and Societal Implications of Emerging Technologies,"Teaches foundational concepts for intellectual exploration and personal development within an academic community: analysis, critical thinking, metacognition, engagement with others across difference, and self-efficacy. Examines how technological revolutions happen, how they transform societies, and how these changes generate new ideological narratives.",5 units,5,5,Enrollment is restricted to college members.,,1
Winter Quarter 2226,UCSC,CRWN,Crown College,Theory and Practices for a Purposeful Life,"Goal is to understand our ability to impact the world around us and recognize that while we cannot control it, we are able to control the ways in which we respond to the various situations that life brings us. The class discusses each of our seven intelligences, the ways in which we intake, process, and put out information and how we gain, use, and lose our internal resources in our everyday exchanges. Includes lectures and active engagement with texts and videos, shared experiences, physical exercises, and games. Also includes a customized App to support follow-through and engagement, and journaling to support self-awareness and reflection.",3 units,3,3,,,81
Winter Quarter 2226,UCSC,CRWN,Crown College,Introduction to Broadcast Operations: KZSC Radio Programming,"Practical application of technical and creative skills in the KZSC studios. Production of audio content and promotional materials for broadcast. Critical evaluation in a workshop setting. Assignments require original research, professional writing, and the operation of complex technology. Enrollment is by permission of the instructor.",5 units,5,5,,,82
Winter Quarter 2226,UCSC,CRWN,Crown College,Start-up Entrepreneurship Academy,"Introduction to the basics of setting up a start-up company using the Lean Launchpad/NSF I-Corps model of instruction. Students learn principles of data collection, marketing processes, and resources needed for new companies. The class is articulated around the design of a business plan, in groups of 4-5 students coached by a successful entrepreneur, and culminates in a presentation. The market research for the project involves talking to at least 5 potential customers, partners, channels and/or related experts each week.",5 units,5,5,,,90
Winter Quarter 2226,UCSC,CRWN,Crown College,Digital Theater Workshop: Theorizing Culture and the Future,Teaches different interpretation tools to be applied to a selection of dramatic literature in discussions. Students integrate these skills and develop their creativity through mounting a production of a play which addresses the impact of technology in society.,5 units,5,5,,,96
Winter Quarter 2226,UCSC,CRWN,Crown College,Corporate Innovation Laboratory,"Class designed to ensure that students gain practical experience that bridges classroom learning with industry expectations. Students develop essential skills for driving corporate innovation, working on real-world problems provided by a partner organization. An example are problems in the area of spatial computing shared by the Overture Maps Foundation. To allow for completion of complex projects, this class may be taken for credit across multiple quarters. Prerequisite(s): CSE 13S, and one of the following: CSE 115A, CSE 20, CSE 140, CSE 143, and CSE 144. Eligible students should be familiar with Introductory Computer Science, Data Science Fundamentals, and basic use of LLM’s. Knowledge in full stack web development is a bonus. Enrollment is by permission of the instructor. An interview is required to ensure that the students have the skills and commitment to contribute to the projects. May be repeated for credit.",5 units,5,5,,,102
Winter Quarter 2226,UCSC,CRWN,Crown College,Marketing for Good,"Marketing for Good is a service-learning course. Student teams are matched with real-world clients, establish their needs through interviews, and develop a marketing plan. This plan may include branding, logo design, messaging, digital storytelling (through video, film or photography), website and social media campaigns, and more. During its execution, students take on roles and responsibilities that mirror the industry such the rols of writer, art director, product marketing head, and marketing strategist. Thus, students experience the totality of a marketing project, getting a firsthand understanding of how marketing teams work and how they can scale as the size of the team grows. May be repeated for credit.",5 units,5,5,Prerequisite(s): CRWN 91.,,191
Winter Quarter 2226,UCSC,CRWN,Crown College,GetVirtual Business Assistance Internship,"Community service-oriented class that provides a supervised learning experience for students to help increase local business client acquisition, integrating academic coursework with community involvement. Students gain valuable practical skills as consultants. They are trained to do interviews, write proposals, project-manage, design websites, and marketing campaigns. No prerequisites are required but CRWN 90 or CRWN 92 are highly recommended to acquire familiarity with the lean startup method, the business model canvas, and customer discovery. May be repeated for credit. (Formerly CRWN 95, GetVirtual Business Assistance.) May be repeated for credit.",5 units,5,5,,,195
Winter Quarter 2226,UCSC,CSE,Computer Science and Engineering,Computer Systems and Assembly Language and Lab,"Introduction to computer systems and assembly language and how computers compute in hardware and software. Topics include digital logic, number systems, data structures, compiling/assembly process, basics of the system software, and computer architecture. Course is 7 credits with integrated laboratories illustrating concepts covered in lecture. Note that CSE 12 assumes some programming experience. Students can show programming experience by taking one of the courses listed in the prerequisite list below or by taking the CSE python Test-out Exam: https://undergrad.soe.ucsc.edu/cse-20-testout-exam (Formerly CSE 12 and CSE 12L)",7 units,7,7,"Prerequisite(s): CSE 5J, or CSE 20, or CSE 30, or BME 160, or equivalent. Enrollment restricted to frosh, sophomores, or declared or proposed majors in the following: computer science, computer engineering, computer game design, biomolecular engineering and bioinformatics, electrical engineering, network and digital technology, robotics engineering, and technology information management; or Bioinformatics majors, during First Pass enrollment.",,12
Winter Quarter 2226,UCSC,CSE,Computer Science and Engineering,Computer Systems and Assembly Language and Lab,"Introduction to computer systems and assembly language and how computers compute in hardware and software. Topics include digital logic, number systems, data structures, compiling/assembly process, basics of the system software, and computer architecture. Course is 7 credits with integrated laboratories illustrating concepts covered in lecture. Note that CSE 12 assumes some programming experience. Students can show programming experience by taking one of the courses listed in the prerequisite list below or by taking the CSE python Test-out Exam: https://undergrad.soe.ucsc.edu/cse-20-testout-exam (Formerly CSE 12 and CSE 12L)",7 units,7,7,"Prerequisite(s): CSE 5J, or CSE 20, or CSE 30, or BME 160, or equivalent. Enrollment restricted to frosh, sophomores, or declared or proposed majors in the following: computer science, computer engineering, computer game design, biomolecular engineering and bioinformatics, electrical engineering, network and digital technology, robotics engineering, and technology information management; or Bioinformatics majors, during First Pass enrollment.",,12
Winter Quarter 2226,UCSC,CSE,Computer Science and Engineering,Computer Systems and C Programming,"Focuses on C programming, command line, shell programming, editors, debuggers, source code control, and other tools. Examines basic computer systems, algorithm design, and development, data types, and program structures. Develops understanding of process model, compile-link-execute build cycle, language-machine interface, memory, and data representation. Students cannot receive credit for CSE 13S, CSE 13E, and ECE 13. Course is 7 credits with integrated laboratory.",7 units,7,7,Prerequisite(s): CSE 12 or BME 160.,,13S
Winter Quarter 2226,UCSC,CSE,Computer Science and Engineering,Computer Systems and C Programming,"Focuses on C programming, command line, shell programming, editors, debuggers, source code control, and other tools. Examines basic computer systems, algorithm design, and development, data types, and program structures. Develops understanding of process model, compile-link-execute build cycle, language-machine interface, memory, and data representation. Students cannot receive credit for CSE 13S, CSE 13E, and ECE 13. Course is 7 credits with integrated laboratory.",7 units,7,7,Prerequisite(s): CSE 12 or BME 160.,,13S
Winter Quarter 2226,UCSC,CSE,Computer Science and Engineering,Applied Discrete Mathematics,"Introduction to applications of discrete mathematical systems. Topics include sets, functions, relations, graphs, predicate calculus, mathematical proof methods (induction, contraposition, contradiction), counting methods (permutations, combinations), and recurrences. Examples are drawn from computer science and computer engineering. Knowledge of computer programming is useful before taking this course. Students who do not have prior programming experience are strongly recommended to take CSE 20 or CSE 30 before taking this course.",5 units,5,5,Prerequisite(s): MATH 19A or MATH 20A or MATH 19B or MATH 20B or MATH 11B or AM 11B or AM 15B or ECON 11B.,,16
Winter Quarter 2226,UCSC,CSE,Computer Science and Engineering,Applied Discrete Mathematics,"Introduction to applications of discrete mathematical systems. Topics include sets, functions, relations, graphs, predicate calculus, mathematical proof methods (induction, contraposition, contradiction), counting methods (permutations, combinations), and recurrences. Examples are drawn from computer science and computer engineering. Knowledge of computer programming is useful before taking this course. Students who do not have prior programming experience are strongly recommended to take CSE 20 or CSE 30 before taking this course.",5 units,5,5,Prerequisite(s): MATH 19A or MATH 20A or MATH 19B or MATH 20B or MATH 11B or AM 11B or AM 15B or ECON 11B.,,16
Winter Quarter 2226,UCSC,CSE,Computer Science and Engineering,Beginning Programming in Python,"Provides students with Python programming skills and the ability to design programs and read Python code. Topics include data types, control flow, methods and advanced functions, built-in data structures, and introduction to OOP. No prior programming experience is required. Students may not receive credit for CSE 20 after receiving credit for CSE 30. Students with prior programming experience (especially in Python) are encouraged to take CSE Testout Exam to be evaluated for their readiness to take CSE 30 directly: https://undergrad.soe.ucsc.edu/cse-20-testout-exam.",5 units,5,5,"Antirequisite: Students cannot enroll in this class after receiving a C or better in CSE 30. Enrollment restricted to frosh, sophomores, or declared or proposed majors in the following: computer science, computer engineering, computer game design, biomolecular engineering and bioinformatics, electrical engineering, network and digital technology, robotics engineering, and technology information management; or Bioinformatics majors, during First Pass enrollment.",,20
Winter Quarter 2226,UCSC,CSE,Computer Science and Engineering,Beginning Programming in Python,"Provides students with Python programming skills and the ability to design programs and read Python code. Topics include data types, control flow, methods and advanced functions, built-in data structures, and introduction to OOP. No prior programming experience is required. Students may not receive credit for CSE 20 after receiving credit for CSE 30. Students with prior programming experience (especially in Python) are encouraged to take CSE Testout Exam to be evaluated for their readiness to take CSE 30 directly: https://undergrad.soe.ucsc.edu/cse-20-testout-exam.",5 units,5,5,"Antirequisite: Students cannot enroll in this class after receiving a C or better in CSE 30. Enrollment restricted to frosh, sophomores, or declared or proposed majors in the following: computer science, computer engineering, computer game design, biomolecular engineering and bioinformatics, electrical engineering, network and digital technology, robotics engineering, and technology information management; or Bioinformatics majors, during First Pass enrollment.",,20
Winter Quarter 2226,UCSC,CSE,Computer Science and Engineering,Programming Abstractions: Python,"Introduction to software development in Python focusing on structuring software in terms of objects endowed with primitive operations. Introduces concepts and techniques via a sequence of concrete case studies. Coursework consists of programming assignments and a final examination. Note that CSE 30 assumes some Python experience, students trained in a different language should self-study Python to prepare for CSE 30. See CSE Testout Exam for resources and further information.",7 units,7,7,"Prerequisite(s): CSE 20 or BME 160; and MATH 3 or MATH 11A or MATH 19A or MATH 20A or AM 3 or AM 11A or ECON 11A, or a score of 400 or higher on the mathematics placement examination (MPE). Enrollment restricted to frosh, sophomores, or declared or proposed majors in the following: computer science, computer engineering, computer game design, biomolecular engineering and bioinformatics, electrical engineering, network and digital technology, robotics engineering, and technology information management; or Bioinformatics majors, during First Pass enrollment.",,30
Winter Quarter 2226,UCSC,CSE,Computer Science and Engineering,Programming Abstractions: Python,"Introduction to software development in Python focusing on structuring software in terms of objects endowed with primitive operations. Introduces concepts and techniques via a sequence of concrete case studies. Coursework consists of programming assignments and a final examination. Note that CSE 30 assumes some Python experience, students trained in a different language should self-study Python to prepare for CSE 30. See CSE Testout Exam for resources and further information.",7 units,7,7,"Prerequisite(s): CSE 20 or BME 160; and MATH 3 or MATH 11A or MATH 19A or MATH 20A or AM 3 or AM 11A or ECON 11A, or a score of 400 or higher on the mathematics placement examination (MPE). Enrollment restricted to frosh, sophomores, or declared or proposed majors in the following: computer science, computer engineering, computer game design, biomolecular engineering and bioinformatics, electrical engineering, network and digital technology, robotics engineering, and technology information management; or Bioinformatics majors, during First Pass enrollment.",,30
Winter Quarter 2226,UCSC,CSE,Computer Science and Engineering,Programming Abstractions: Python,"Introduction to software development in Python focusing on structuring software in terms of objects endowed with primitive operations. Introduces concepts and techniques via a sequence of concrete case studies. Coursework consists of programming assignments and a final examination. Note that CSE 30 assumes some Python experience, students trained in a different language should self-study Python to prepare for CSE 30. See CSE Testout Exam for resources and further information.",7 units,7,7,"Enrollment restricted to frosh, sophomores, or declared or proposed majors in the following: computer science, computer engineering, computer game design, biomolecular engineering and bioinformatics, electrical engineering, network and digital technology, robotics engineering, and technology information management; or Bioinformatics majors, during First Pass enrollment.",,30
Winter Quarter 2226,UCSC,CSE,Computer Science and Engineering,Machine Learning Basics: Data Analysis and Empirical Methods,"Introduction to the basic mathematical concepts and programming abstractions required for modern machine learning, data science, and empirical science. The mathematical foundations include basic probability, linear algebra, and optimization. The programming abstractions include data manipulation and visualization. The principles of empirical analysis, evaluation, critique and reproducibility are emphasized. Mathematical and programming abstractions are grounded in empirical studies including data-driven evidential reasoning, predictive modeling, and causal analysis.",5 units,5,5,"Prerequisite(s): MATH 19B or MATH 20B, and CSE 30. Enrollment restricted to proposed and declared computer science majors and Biomolecular Engineering and Bioinformatics during first pass enrollment.",,40
Winter Quarter 2226,UCSC,CSE,Computer Science and Engineering,Machine Learning Basics: Data Analysis and Empirical Methods,"Introduction to the basic mathematical concepts and programming abstractions required for modern machine learning, data science, and empirical science. The mathematical foundations include basic probability, linear algebra, and optimization. The programming abstractions include data manipulation and visualization. The principles of empirical analysis, evaluation, critique and reproducibility are emphasized. Mathematical and programming abstractions are grounded in empirical studies including data-driven evidential reasoning, predictive modeling, and causal analysis.",5 units,5,5,"Prerequisite(s): MATH 19B or MATH 20B, and CSE 30. Enrollment restricted to proposed and declared computer science majors and Biomolecular Engineering and Bioinformatics during first pass enrollment.",,40
Winter Quarter 2226,UCSC,CSE,Computer Science and Engineering,Introduction to Networking and the Internet,"Introduction to the evolution, technological basis, and services of the Internet, with descriptions of its underlying communications structure, routing algorithms, peer-to-peer hierarchy, reliability, and packet switching. Network security, mail, multimedia and data compression issues, HTML, and digital images. Students who have completed course 150 cannot receive credit for this course. (Formerly Computer Engineering 80N.)",5 units,5,5,,,80N
Winter Quarter 2226,UCSC,CSE,Computer Science and Engineering,Logic Design,"Boolean algebra, logic minimization, finite-state machine design, sequential circuits, common logic elements, programmable logic devices, and an introduction to system level design. The electrical behavior of circuits including three state outputs, propagation delay, logic levels, and fanout.",5 units,5,5,"Prerequisite(s): CSE 12; previous or concurrent enrollment in CSE 100L is required. Enrollment restricted to Computer Engineering, Electrical Engineering, and Robotics Engineering majors during First Pass and Second Pass enrollment.",,100
Winter Quarter 2226,UCSC,CSE,Computer Science and Engineering,Logic Design Laboratory,"Laboratory sequence illustrating topics covered in course 100. Two 2-hour laboratory sessions per week. Weekly laboratory assignments which require the use of the oscilloscopes, TTL circuits, computer-aided design and simulation tools, and programmable logic.",2 units,2,2,Prerequisite(s): CSE 12; previous or concurrent enrollment in CSE 100 is required.,,100L
Winter Quarter 2226,UCSC,CSE,Computer Science and Engineering,Logic Design Laboratory,"Laboratory sequence illustrating topics covered in course 100. Two 2-hour laboratory sessions per week. Weekly laboratory assignments which require the use of the oscilloscopes, TTL circuits, computer-aided design and simulation tools, and programmable logic.",2 units,2,2,Prerequisite(s): CSE 12; previous or concurrent enrollment in CSE 100 is required.,,100L
Winter Quarter 2226,UCSC,CSE,Computer Science and Engineering,Logic Design Laboratory,"Laboratory sequence illustrating topics covered in course 100. Two 2-hour laboratory sessions per week. Weekly laboratory assignments which require the use of the oscilloscopes, TTL circuits, computer-aided design and simulation tools, and programmable logic.",2 units,2,2,Prerequisite(s): CSE 12; previous or concurrent enrollment in CSE 100 is required.,,100L
Winter Quarter 2226,UCSC,CSE,Computer Science and Engineering,Logic Design Laboratory,"Laboratory sequence illustrating topics covered in course 100. Two 2-hour laboratory sessions per week. Weekly laboratory assignments which require the use of the oscilloscopes, TTL circuits, computer-aided design and simulation tools, and programmable logic.",2 units,2,2,Prerequisite(s): CSE 12; previous or concurrent enrollment in CSE 100 is required.,,100L
Winter Quarter 2226,UCSC,CSE,Computer Science and Engineering,Introduction to Data Structures and Algorithms,"Introduction to abstract data types and basics of algorithms. Linked lists, stacks, queues, hash tables, trees, heaps, and graphs will be covered. Students will also be taught how to derive big-Oh analysis of simple algorithms. All assignments will be in C/C++. (Formerly Computer Science 101 Algorithms and Abstract Data Types.)",5 units,5,5,"Prerequisite(s): CSE 12 or BME 160; CSE 13E or ECE 13 or CSE 13S; and CSE 16; and CSE 30; and MATH 11B or MATH 19B or MATH 20B or AM 11B or ECON 11B. Enrollment restricted to declared majors in Computer Science, Computer Engineering, Computer Game Design, Network and Digital Technology, Bioinformatics, Biomolecular Engineering and Bioinformatics, and Robotics Engineering; and proposed majors in Computer Science, during First Pass enrollment.",,101
